n,threads,run,time_ms
6400,16,35,229734751.0
6400,16,39,218753982.0
6400,16,43,240597807.0
6400,16,47,242824402.0
6400,16,51,227856084.0
6400,16,55,247611368.0
6400,16,59,245747466.0
6400,16,63,242690411.0
6400,16,67,238327376.0
6400,16,71,229258970.0
6400,16,75,231003898.0
6400,16,79,244014526.0
6400,16,83,221393450.0
6400,16,87,226070126.0
6400,16,91,223905581.0
6400,16,95,221720449.0
6400,16,99,237954562.0
6400,16,103,245167155.0
6400,16,107,218493679.0
6400,16,111,229718677.0
6400,16,115,249243126.0
6400,16,119,226026911.0
4000,8,3,53001042.0
4000,8,7,52532635.0
4000,8,11,52706040.0
4000,8,15,52858145.0
4000,8,19,52588413.0
4000,8,23,52873006.0
4000,8,27,52589875.0
4000,8,31,48874870.0
4000,8,35,53702149.0
4000,8,39,52183434.0
4000,8,43,51879767.0
4000,8,47,53859428.0
4000,8,51,52682271.0
4000,8,55,52708041.0
4000,8,59,53444023.0
4000,8,63,53942055.0
4000,8,67,48207576.0
4000,8,71,52835507.0
4000,8,75,52792675.0
4000,8,79,52166445.0
4000,8,83,52768402.0
4000,8,87,52433022.0
4000,8,91,52139197.0
4000,8,95,51977031.0
4000,8,99,51097535.0
4000,8,103,52619462.0
4000,8,107,52766728.0
4000,8,111,47274432.0
4000,8,115,53098095.0
4000,8,119,53597457.0
800,16,3,74109.0
800,16,7,68490.0
800,16,11,69452.0
800,16,15,67773.0
800,16,19,69459.0
800,16,23,70611.0
800,16,27,67489.0
800,16,31,63142.0
800,16,35,76752.0
800,16,39,66282.0
800,16,43,68940.0
800,16,47,64705.0
800,16,51,69826.0
800,16,55,68452.0
800,16,59,69589.0
800,16,63,65470.0
800,16,67,68436.0
800,16,71,67568.0
800,16,75,83526.0
800,16,79,67607.0
800,16,83,68799.0
800,16,87,67107.0
800,16,91,66092.0
800,16,95,62689.0
800,16,99,61453.0
800,16,103,68608.0
800,16,107,65466.0
800,16,111,67694.0
800,16,115,68641.0
800,16,119,68981.0
8000,20,3,427740667.0
8000,20,7,409999620.0
8000,20,11,430011553.0
8000,20,15,451407132.0
8000,20,19,430795416.0
8000,20,23,448008052.0
8000,20,27,459310372.0
8000,20,31,441533995.0
8000,20,35,397661499.0
8000,20,39,475392307.0
8000,20,43,452527615.0
8000,20,47,420466007.0
8000,20,51,433535130.0
8000,20,55,401085759.0
8000,20,59,431421837.0
8000,20,63,470230132.0
8000,20,67,449864983.0
8000,20,71,393038418.0
8000,20,75,439686825.0
8000,20,79,459033210.0
8000,20,83,479231792.0
8000,20,87,452302955.0
8000,20,91,453133604.0
8000,20,95,484362068.0
8000,20,99,440305438.0
8000,20,103,468005179.0
8000,20,107,442418325.0
8000,20,111,401151424.0
8000,20,115,395003478.0
8000,20,119,414729746.0
4000,4,3,59156702.0
4000,4,7,60233783.0
4000,4,11,60469129.0
4000,4,15,60945004.0
4000,4,19,60324076.0
4000,4,23,60743588.0
4000,4,27,60856043.0
4000,4,31,60629637.0
4000,4,35,60810043.0
4000,4,39,61029334.0
4000,4,43,61256374.0
4000,4,47,60599697.0
4000,4,51,61019628.0
4000,4,55,60819208.0
4000,4,59,60411876.0
4000,4,63,61426295.0
4000,4,67,60410957.0
4000,4,71,60841108.0
4000,4,75,61260426.0
4000,4,79,60758379.0
4000,4,83,60731553.0
4000,4,87,61270387.0
4000,4,91,62010366.0
4000,4,95,60840280.0
4000,4,99,60679072.0
4000,4,103,60898501.0
4000,4,107,60854227.0
4000,4,111,60872828.0
4000,4,115,61069481.0
4000,4,119,61138797.0
2400,2,3,18160036.0
2400,2,7,18277622.0
2400,2,11,18294787.0
2400,2,15,18186521.0
2400,2,19,17970661.0
2400,2,23,17765572.0
2400,2,27,17934385.0
2400,2,31,17923630.0
2400,2,35,18089027.0
2400,2,39,18217127.0
2400,2,43,18432487.0
2400,2,47,17954323.0
2400,2,51,18077253.0
2400,2,55,18175093.0
2400,2,59,17870373.0
2400,2,63,17856319.0
2400,2,67,17793951.0
2400,2,71,18192333.0
2400,2,75,17881495.0
2400,2,79,17793016.0
2400,2,83,18058102.0
2400,2,87,18080292.0
2400,2,91,18460895.0
2400,2,95,18001700.0
2400,2,99,18326989.0
2400,2,103,17820757.0
2400,2,107,18061100.0
2400,2,111,17675711.0
2400,2,115,17762466.0
2400,2,119,18057092.0
5600,8,3,159330889.0
5600,8,7,163942796.0
5600,8,11,153451312.0
5600,8,15,147643610.0
5600,8,19,154432558.0
5600,8,23,161937122.0
5600,8,27,160796374.0
5600,8,31,131616244.0
5600,8,35,164836148.0
5600,8,39,134507674.0
5600,8,43,165180777.0
5600,8,47,132564937.0
5600,8,51,162047164.0
5600,8,55,152951487.0
5600,8,59,157286919.0
5600,8,63,165834572.0
5600,8,67,164145758.0
5600,8,71,159895031.0
5600,8,75,158820606.0
5600,8,79,162260432.0
5600,8,83,141427909.0
5600,8,87,158745031.0
5600,8,91,161348180.0
5600,8,95,159675902.0
5600,8,99,165964364.0
5600,8,103,157863009.0
5600,8,107,145842757.0
5600,8,111,161918288.0
5600,8,115,154635793.0
5600,8,119,156681569.0
800,4,3,88835.0
800,4,7,88105.0
800,4,11,92467.0
800,4,15,90428.0
800,4,19,87261.0
800,4,23,95656.0
800,4,27,89702.0
800,4,31,86827.0
800,4,35,97690.0
